Zeit (in Sek),Druck/Stromstärke (in mA),Kapillaredurchmesser (in mm)
0,65.7,3
5,65.6,3
10,62.2,3
15,58.2,3
20,51.1,3
25,46.7,3
30,44.9,3
35,40.4,3
40,36.7,3
50,31.9,3
60,28.7,3
70,26.3,3
80,24.4,3
90,22.8,3
100,21.6,3
110,20.4,3
150,17.5,3
180,15.9,3
240,13.8,3
300,12.4,3
360,11.5,3
0,65.1,2
5,65.2,2
10,64,2
15,62.1,2
20,60.2,2
25,57.8,2
30,54.4,2
35,51.8,2
40,49.5,2
45,47.6,2
50,46.9,2
60,46.4,2
70,43.3,2
80,40.8,2
90,38.4,2
100,36.3,2
110,34.9,2
120,33.4,2
150,29.9,2
180,27.3,2
240,23.5,2
300,20.9,2
360,19,2
420,17.4,2
480,16.2,2
540,15.2,2
600,14.4,2
0,64.8,25
5,64.3,25
10,59.5,25
15,48.9,25
20,35.3,25
25,22.3,25
30,14.1,25
40,9.6,25
50,8.2,25
60,7.5,25
70,7,25
80,6.7,25
90,6.4,25
120,5.8,25
