Strom (in Amp),Abstand (in cm),Grundfeldstärke (in mT),Feldstärke (in mT)
1,4.35,0.239,20.1
1,4.5,0.237,20
1,5,0.207,18.53
1,5.5,0.194,16.01
1,6,0.183,13.45
1,6.5,0.136,10.97
1,7,0.035,8.69
1,7.5,-0.096,6.71
1,8,-0.19,5.33
1,8.5,-0.244,4.26
1,9,-0.257,3.54
1,9.5,-0.243,3
1,10,-0.214,2.57
1,10.5,-0.176,2.25
1,11,-0.136,1.99
1,12,-0.066,1.582
1,13,-0.021,1.282
1,14,-0.017,1.038
1,15,-0.046,0.812
1,17,-0.024,0.562
1,19,0.063,0.479
1,20,0.027,0.383
1,25,-0.209,-0.031
1,30,-0.097,0.004
1,35,-0.028,0.033
1,40,-0.107,-0.067
