Messung,Spannung,Zeit,Abstand
1,130,36.4,5
1,79,33.2,4
2,80,19.5,5
2,80,11,5
3,134,19.7,6
3,134,8.6,6
4,128,30.5,5
4,128,7.7,5
5,182,19.3,5
5,182,6.9,5
6,60,17.6,5
6,60,9.3,5
7,133,18.1,5
7,133,6.1,5
8,131.5,16.9,5
8,131.5,7.5,5
9,444,17.7,3
9,444,5.7,4
10,133,20,6
10,133,9.9,6
11,173.5,22.2,5
11,173.5,5.5,5
12,427.5,9.5,5
12,427.5,3.8,5
13,165,11.6,5
13,165,5.8,5
14,198,13.4,5
14,198,7,5
15,108,10.5,5
15,108,8.8,5
16,55,20.4,4
16,55,4.6,4
17,304,17.9,4
17,304,4.8,4
18,543.5,22.3,3
18,543.5,5.2,3
19,143,17.2,5
19,143,8.5,5
20,197.5,21.8,4
20,197.5,4.8,4
